Machine_ID,Temperature,Vibration,Pressure,Operational_Hours,Maintenance_Record,Failure
1102,73.45075398163723,0.4000729193775034,2820.8060159113397,5257,0,1
1435,82.00736285132898,0.4877541249596046,3569.9021081252426,8372,0,0
1860,72.21608829189022,0.6990580799044063,2258.3758410510627,15998,1,0
1270,81.33361314843653,0.384355966675816,3174.892633787642,10458,0,0
1106,59.59206957569133,0.7226544625478786,4110.240310760595,1567,0,0
1071,73.67483320458103,0.6878317826288364,2912.5691821616592,1227,0,0
1700,75.78896096598508,0.2857383344658051,2897.8797551674143,17127,0,0
1020,75.23138723098168,0.7245650987770551,3359.8882597388492,1211,0,1
1614,58.470813021611164,0.4432837755716928,3261.0907979568037,11585,0,0
1121,87.03112646430804,0.4002097752548164,3708.78111195201,8424,0,0
1466,66.45327055028584,0.4441293449173349,2916.4444360506614,16049,1,0
1214,78.35037125262467,0.4992988546482652,3351.096455824815,8962,0,0
1330,75.0796428264733,0.41699107991247303,3359.0503944370103,10489,0,0
1458,85.03709523810677,0.3320616679277505,2832.222053424349,3060,0,1
1087,96.87488829374206,0.3497488812610653,2943.0099050089857,2677,0,0
1372,62.09635515457164,0.5277885619408031,2994.400414270115,17721,1,0
1099,68.51086118727501,0.4679072896365911,2381.150092679792,3578,0,0
1871,76.89092493839053,0.6054619386799127,2805.66080327318,10468,0,0
1663,63.94646682447208,0.5104725794406525,3748.0822633834396,14620,0,1
1130,82.8218260795576,0.5154027991967517,3518.8583078355587,18534,0,0
1661,83.43372622157058,0.6185624469668575,2710.032042142255,3448,0,0
1308,80.59449075995038,0.7837836143825369,2992.1289257336834,3020,0,0
1769,77.36581750876198,0.7918044696583777,3485.6949447137713,7769,0,0
1343,88.69708777969781,0.7680812840228436,3221.70284377111,13836,1,0
1491,63.44374518331138,0.6740898339482615,3399.9554762454018,12930,1,0
1413,75.65268195342553,0.9170821244184297,3267.064059397337,14520,1,0
1805,67.61197131269779,0.5875647532487145,3107.705701365062,11210,1,0
1385,83.89916332565168,0.5651091630644144,2917.053658576808,17246,1,0
1191,56.66658835493567,0.9487842551006099,2402.445719869897,2756,1,0
1955,74.7191613440702,-0.04519377001989511,3346.117442734129,7852,0,0
1276,78.35238687069949,0.4572207022711363,2889.123990996295,13336,0,0
1160,65.52507865026226,0.7504991458299999,2176.0565530715776,4858,1,0
1459,68.73809967778433,0.6960525905443368,2727.170503394284,11839,0,0
