recordedOn,power,bladeAngle,airPressure,airTemp,cloudLevel,bladeLength,bladeWidth,height,windSpeed,status,windDirection,month
17/08/2020 10:43,6.30709234,-0.737097312,,27.62351085,Low,,0.3110241,27.69181791,5.213826195,Good,NW,August
18/04/2020 20:33,1.88670981,1.273889674,112871.331,36.51727434,Medium,2.241199164,0.451256544,26.86086882,3.782233161,Good,NE,April
16/05/2020 06:53,6.83491317,,113043.7881,22.49165149,Medium,2.655385174,0.304478693,13.78802051,5.614178763,Good,SW,May
22/07/2020 14:13,2.22308591,0.886754565,110477.8815,30.30218022,,3.995677359,0.41077531,40.24387597,3.8434776,Good,SW,July
14/05/2020 02:23,0.85659168,1.687470072,,24.75743615,Medium,3.269739563,0.467338558,27.32892306,3.495824788,Good,SW,May
07/04/2020 01:03,69.38135067,-1.175154768,250062.2412,28.31402924,Low,,0.428803664,26.71868902,5.66182978,Optimised,NW,April
26/05/2020 07:13,10.20779484,,115005.8433,18.48290044,Medium,4.831145782,0.305215409,24.20272098,6.486174865,Good,SW,May
24/05/2020 00:03,12.9469176,-1.284503509,652071.8985,27.50879942,Low,4.769259865,0.36483494,26.77905969,6.151815626,Good,SW,May
18/08/2020 22:03,33.22758776,-0.220828682,126944.705,39.41156116,Low,3.08632463,0.38181406,41.40521299,8.417216233,Good,NW,August
31/05/2020 05:03,0.09483065,107.1900399,,11.9735627,Low,2.044693453,0.445200295,24.32853723,2.204768263,Good,SW,May
28/06/2020 10:33,0.10985906,,107562.2476,24.27691157,Medium,,0.386147616,26.61865426,2.52923985,Good,NW,June
04/07/2020 08:33,20.09042154,-1.076056766,130796.4075,22.44066577,Low,6.542542422,0.481318576,27.01859428,7.51623972,Good,,July
27/02/2020 02:53,32.28653184,11.26842358,326258.6702,37.24948107,Medium,3.070125945,0.331560719,27.42630357,11.26416935,Good,,February
26/05/2020 04:53,11.63664984,-1.131275127,630929.6037,22.65766692,Medium,,0.475054717,27.74451664,6.190689347,Good,SW,May
05/08/2020 11:23,9.42552442,-0.994495446,114561.6165,22.34728221,Medium,3.139549505,0.454212242,22.30282028,6.035172017,Good,NW,August
11/06/2020 10:43,0.38545861,3.914090749,112156.5685,21.88241038,Low,,0.435622277,26.31850985,3.340815637,Good,SW,June
25/05/2020 11:03,4.42796433,0.256350031,115082.2118,19.33783649,Low,4.776126073,0.380700407,27.38621978,4.8095498,Good,SW,May
10/12/2019 01:53,42.01840333,,81217.13004,43.46287169,Medium,2.018640191,0.439526511,26.00729722,10.96017839,Optimised,SE,December
20/06/2020 11:53,72.71056563,35.27456117,109392.0174,20.89458924,Low,2.576588005,0.425083914,25.62320346,3.1085367,Good,SW,June
05/02/2020 02:13,30.55896852,,135435.9591,43.51599252,Medium,8.456589972,0.39870265,27.01685433,9.42132935,Good,SE,February
21/01/2020 01:53,32.23569399,,445931.6138,42.05374548,Medium,4.992870258,0.447419492,26.80670878,9.7408693,Good,,January
06/04/2020 22:43,9.25371839,-1.117895112,117017.3243,23.06305634,Low,6.097349289,0.44074177,25.34003753,5.4534262,Good,SW,April
08/07/2020 21:33,31.19716101,4.725622136,127909.4687,35.06574906,Low,3.51616788,0.336106831,22.8367925,9.053184395,Good,SW,July
29/01/2020 20:33,29.88591116,15.71356643,423042.8506,29.45501741,Medium,8.15241103,0.372591513,27.73696377,13.98838272,Good,SE,January
