Åland Islands,2013,Total,Male,MARIEHAMN,Estimate - de jure,"Final figure, complete",2014,5445.0
Åland Islands,2013,Total,Female,MARIEHAMN,Estimate - de jure,"Final figure, complete",2014,5925.0
Åland Islands,2012,Total,Male,MARIEHAMN,Estimate - de jure,"Final figure, complete",2013,5408.0
Åland Islands,2012,Total,Female,MARIEHAMN,Estimate - de jure,"Final figure, complete",2013,5896.5
Åland Islands,2011,Total,Male,MARIEHAMN,Estimate - de jure,"Final figure, complete",2012,5363.5
Åland Islands,2011,Total,Female,MARIEHAMN,Estimate - de jure,"Final figure, complete",2012,5863.0
Åland Islands,2010,Total,Male,MARIEHAMN,Estimate - de jure,"Final figure, complete",2011,5327.0
Åland Islands,2010,Total,Female,MARIEHAMN,Estimate - de jure,"Final figure, complete",2011,5829.5
Åland Islands,2009,Total,Male,MARIEHAMN,Estimate - de jure,"Final figure, complete",2009,5264.0
Åland Islands,2009,Total,Female,MARIEHAMN,Estimate - de jure,"Final figure, complete",2009,5800.0
Åland Islands,2008,Total,Male,MARIEHAMN,Estimate - de jure,"Final figure, complete",2009,5189.0
Åland Islands,2008,Total,Female,MARIEHAMN,Estimate - de jure,"Final figure, complete",2009,5765.0
Åland Islands,2007,Total,Male,MARIEHAMN,Estimate - de jure,"Final figure, complete",2007,5151.0
Åland Islands,2007,Total,Female,MARIEHAMN,Estimate - de jure,"Final figure, complete",2007,5712.0
Åland Islands,2000,Total,Male,MARIEHAMN,Census - de jure - complete tabulation,"Final figure, complete",2009,4943.0
Åland Islands,2000,Total,Female,MARIEHAMN,Census - de jure - complete tabulation,"Final figure, complete",2009,5545.0
Albania,2011,Total,Male,Durrës,Census - de jure - complete tabulation,"Final figure, complete",2013,56511.0
Albania,2011,Total,Male,TIRANA,Census - de jure - complete tabulation,"Final figure, complete",2013,203239.0
Albania,2011,Total,Female,Durrës,Census - de jure - complete tabulation,"Final figure, complete",2013,56738.0
Albania,2011,Total,Female,TIRANA,Census - de jure - complete tabulation,"Final figure, complete",2013,215256.0
Albania,2003,Total,Male,TIRANA,Estimate - de facto,"Final figure, complete",2004,194006.0
Albania,2003,Total,Female,TIRANA,Estimate - de facto,"Final figure, complete",2004,198857.0
American Samoa,2000,Total,Male,PAGO PAGO,Census - de jure - complete tabulation,"Final figure, complete",2005,2086.0
American Samoa,2000,Total,Female,PAGO PAGO,Census - de jure - complete tabulation,"Final figure, complete",2005,2192.0
Armenia,2011,Total,Male,Gyumri (Leninakan),Census - de jure - complete tabulation,"Final figure, complete",2013,57132.0
Armenia,2011,Total,Male,YEREVAN,Census - de jure - complete tabulation,"Final figure, complete",2013,490362.0
Armenia,2011,Total,Female,Gyumri (Leninakan),Census - de jure - complete tabulation,"Final figure, complete",2013,64844.0
Armenia,2011,Total,Female,YEREVAN,Census - de jure - complete tabulation,"Final figure, complete",2013,569776.0
Armenia,2009,Total,Male,Vanadzoz (Kirovakan),Estimate - de jure,"Final figure, complete",2010,50143.0
Armenia,2009,Total,Male,Gyumri (Leninakan),Estimate - de jure,"Final figure, complete",2010,70468.0
Armenia,2009,Total,Male,YEREVAN,Estimate - de jure,"Final figure, complete",2010,522409.0
Armenia,2009,Total,Female,Vanadzoz (Kirovakan),Estimate - de jure,"Final figure, complete",2010,54682.0
