Machine_ID,Temperature,Vibration,Pressure,Operational_Hours,Maintenance_Record,Failure
1241,85.33890789068391,0.5701002993644209,3014.0304031919563,17168,0,0
1864,89.67071635043315,0.7100799071748878,2408.1835516927513,8294,1,0
1001,84.72617642707742,0.4068254115653429,3125.6930194287584,4614,0,0
1224,73.89464402992319,0.4095103588432786,4096.394841132187,13334,0,1
1800,87.17698144191415,0.5744333524732217,3194.010902649315,16931,0,0
1744,77.54599769870919,0.6143912643945,2604.1378630554523,6638,0,0
1972,85.9048472490764,0.29857372563918383,3697.7707900390255,10770,1,1
1925,86.99875483780683,0.844734580338391,2619.214236453536,10998,0,0
1928,64.09103410027231,0.37133713456803563,3860.551619569349,3915,0,0
1588,82.94301131977006,0.692934847937284,2362.5204358089272,13095,0,0
1115,73.18108081486628,0.5903409299781355,3136.35420364564,6950,1,0
1665,76.38190636784014,0.6212647844016574,3763.156247843074,13910,0,0
1917,76.27092748842797,0.3752097167517464,2566.5904357029276,6664,0,1
1102,75.86970217575359,0.15522995623799218,3041.580041699648,8287,0,1
1193,90.23525312229039,0.4957197004181604,3578.6446211770185,16424,1,0
1165,61.33552373105937,0.49654397278774076,1872.2395138341558,13018,0,0
1870,57.77656643130214,0.3083956184629424,3463.441875277488,581,1,1
1089,55.66709928334427,0.6835886383124222,2956.036754541429,3505,0,0
1685,85.69144263935914,0.4896941123627119,3720.9770767812174,8908,0,1
1121,67.2656250813234,0.3381854676115096,2586.251357226825,834,0,0
1142,76.32186469514886,0.6170142688768163,2306.6120686542126,11603,0,0
1993,73.85282875875421,0.6223240002225421,2728.481752535178,9444,1,0
1105,66.1362485936002,0.3567304121728199,2718.0417651928947,12453,1,0
1886,83.51477237555699,0.7466783864818762,2896.757011766968,11443,0,0
1427,73.72537031782616,0.9486487926460709,2765.7101452248417,4397,0,0
1304,72.62264922961616,0.28199390090527077,1996.0507131179663,5148,1,0
1871,77.32871307740251,0.4632612067246814,2952.5218152484395,10174,0,0
1970,82.20772084838217,0.5674019601797982,3115.8983547623147,17666,1,0
1316,65.41023756465552,0.9560520460597854,2903.3787787705182,4294,1,0
1962,83.72918347333287,0.3532445434385242,3143.414122500938,15844,0,0
1634,89.4985351977335,0.3120831022810503,3042.4740391833143,13374,1,1
1901,60.73877631238824,0.3107161705430497,2309.0032244126232,6097,0,1
1008,77.78298979127831,0.7442847186783904,2849.57362551873,7550,0,1
1773,71.95077787642673,0.35843374435321296,3056.949959451592,5551,0,0
1072,81.9923058072014,0.3299731594564763,2881.414684437034,17626,0,0
1358,62.83340787473149,0.5461934657390308,2253.6049396856947,5044,0,0
1222,91.28938225643576,0.5616442623167961,3611.556472534152,13375,1,0
1415,58.92105193570931,0.7142040944225672,2513.922173302579,4855,0,0
1552,72.55719060223466,0.5183852074014452,2378.9017026890506,19394,0,1
1369,79.3429607599536,0.5497864211920535,3020.409283194718,8785,0,0
1715,68.13663153065175,0.4789458768841399,2842.1215813904055,13808,0,0
1263,66.56598451542962,0.2391386152947173,3300.7207968053035,18259,0,0
1839,77.22235636630523,0.4600790655272641,3436.3269678147735,3016,0,0
1689,75.7775991999108,0.5125667145838682,3360.2824258940245,13655,0,1
1859,75.0593816941515,0.41123530406173364,2999.108494873786,16974,0,0
1317,83.58688511465625,0.1871092026752063,3276.6487122006656,15903,1,0
1083,71.05527306571979,0.273001906447776,2219.9934523509583,1979,0,0
1317,78.19592649795004,0.49212374042097035,3547.1804286403913,17838,0,0
1110,69.93397191724185,0.6865506191810521,2797.5851794608343,8714,1,0
1250,66.50670514170592,0.8364568192246432,3984.9689560324578,12810,1,0
1382,72.15241371509981,0.46323388393597564,3562.3999884889445,18605,0,0
1006,70.01234812806368,0.35662514585750515,2901.3572084952802,3047,0,0
1458,70.51196198837219,0.42549810029323903,3010.705314202145,5423,1,0
1083,86.65327417802162,0.29071695276125764,3592.030807204241,17072,0,1
1207,72.45896545964446,0.6575491082622863,1869.9405850652897,16707,1,0
